 OBJECTID, GEO_ID, GEO_NAME, FIPS_CODE, Employer Insurance only - Pop < 19, Employer Insurance only - Pop < 19 *margin of error, Employer Insurance only - Pop 19-34, Employer Insurance only - Pop 19-34 *margin of error, Employer Insurance only - Pop 35-64, Employer Insurance only - Pop 35-64 *margin of error, Employer Insurance only - Pop 65+, Employer Insurance only - Pop 65+ *margin of error, Direct Purchase only - Pop < 19, Direct Purchase only - Pop < 19 *margin of error, Direct Purchase only - Pop 19-34, Direct Purchase only - Pop 19-34 *margin of error, Direct Purchase only - Pop 35-64, Direct Purchase only - Pop 35-64 *margin of error, Direct Purchase only - Pop 65+, Direct Purchase only - Pop 65+ *margin of error, Medicare only - Pop < 19, Medicare only - Pop < 19 *margin of error, Medicare only - Pop 19-34, Medicare only - Pop 19-34 *margin of error, Medicare only - Pop 35-64, Medicare only - Pop 35-64 *margin of error, Medicare only - Pop 65+, Medicare only - Pop 65+ *margin of error, Medicaid only - Pop < 19, Medicaid only - Pop < 19 *margin of error, Medicaid only - Pop 19-34, Medicaid only - Pop 19-34 *margin of error, Medicaid only - Pop 35-64, Medicaid only - Pop 35-64 *margin of error, Medicaid only - Pop 65+, TRICARE/Military only: - Pop < 19, TRICARE/Military only: - Pop < 19 *margin of error, TRICARE/Military only: - Pop 19-34, TRICARE/Military only: - Pop 19-34 *margin of error, TRICARE/Military only: - Pop 35-64, TRICARE/Military only: - Pop 35-64 *margin of error, TRICARE/Military only: - Pop 65+, TRICARE/Military only: - Pop 65+ *margin of error, VA Health Care only - Pop < 19, VA Health Care only - Pop < 19 *margin of error, VA Health Care only - Pop 19-34, VA Health Care only - Pop 19-34 *margin of error, VA Health Care only - Pop 35-64, VA Health Care only - Pop 35-64 *margin of error, VA Health Care only - Pop 65+, VA Health Care only - Pop 65+ *margin of error, 2 or more Insurance - Pop < 19, 2 or more Insurance - Pop < 19 *margin of error, 2 or more Insurance - Pop 19-34, 2 or more Insurance - Pop 19-34 *margin of error, 2 or more Insurance - Pop 35-64, 2 or more Insurance - Pop 35-64 *margin of error, 2 or more Insurance - Pop 65+, 2 or more Insurance - Pop 65+ *margin of error, Population with no Health Insurance Ages - 0-18, Population with no Health Insurance Ages - 0-18 *margin of error, Population with no Health Insurance Ages - 19-34, Population with no Health Insurance Ages - 19-34 *margin of error, Population with no Health Insurance Ages - 35-64, Population with no Health Insurance Ages - 35-64 *margin of error, Population with no Health Insurance Ages - Age 65+, Population with no Health Insurance Ages - Age 65+ *margin of error, Civilian noninstitutionalized population with Health Coverage, Civilian noninstitutionalized population with Health Coverage *margin of error, Total Civilian Noninstitutionalized Population - With health insurance coverage, Total Civilian Noninstitutionalized Population - With health insurance coverage *margin of error, Total Civilian Noninstitutionalized Population - With private health insurance, Total Civilian Noninstitutionalized Population - With private health insurance *margin of error, Total Civilian Noninstitutionalized Population - With public coverage, Total Civilian Noninstitutionalized Population - With public coverage *margin of error, Total Civilian Noninstitutionalized Population - No health insurance coverage, Total Civilian Noninstitutionalized Population - No health insurance coverage *margin of error, Civilian noninstitutionalized population under 19 years, Civilian noninstitutionalized population under 19 years *margin of error, Total Civilian Noninstitutionalized Population under 19 yrs - No health insurance coverage, Total Civilian Noninstitutionalized Population under 19 yrs - No health insurance coverage *margin of error, Percent of Population with No Health Insurance Coverage, Percent of Population with No Health Insurance Coverage *margin of error
1,0400000US01,Alabama,1,510146,5659,538572,4661,1038945,6601,11576,741,53009,2251,85851,2671,150503,3470,2093,389,2832,601,4638,567,57750,1682,200575,2758,468760,6428,87618,2626,104297,2839,,25717,1482,14705,1009,28379,1456,221,118,657,230,3357,541,11293,873,411,131,65980,2301,63969,2019,229843,3532,545869,2846,38671,2254,204561,4711,231101,4554,3141,452,4785040,733,4307566,8603,3221648,15028,1745707,10498,477474,8636,1165772,1520,38671,2254,10,0.2
2,0400000US02,Alaska,2,75722,1884,72909,1650,147917,1991,2790,318,5644,713,8017,676,15503,890,262,90,294,123,330,147,1853,264,16676,713,58348,1993,21833,1018,22216,1158,,16707,1278,11547,887,7881,605,124,128,135,95,883,249,2656,379,108,49,17709,1148,14247,1000,32659,1278,56180,849,20132,1034,37826,1584,44045,1368,953,232,714106,726,611150,3127,467898,4280,221460,3389,102956,3008,194691,374,20132,1034,14.4,0.4
3,0400000US04,Arizona,4,761132,8000,733801,5735,1327801,8062,20885,1142,105814,3527,108231,3136,218460,3750,7513,627,2657,496,4824,514,45445,1909,371499,3704,589133,7914,257558,4262,315214,4696,,25517,1499,17940,1164,28384,1410,322,133,613,297,5862,690,17604,1145,1126,262,98915,3215,78831,2237,210105,3796,734778,4057,147689,4098,267199,5107,322873,5779,10545,932,6838270,799,6089964,10857,4293325,19965,2620735,14716,748306,10907,1731470,1724,147689,4098,10.9,0.2
4,0400000US05,Arkansas,5,276607,4186,309274,3723,572202,5080,6496,586,32955,1714,51996,1778,98866,2522,1116,265,2023,505,3254,519,38316,1424,132824,2148,346942,5108,95840,2262,121963,2770,,10469,1114,7007,882,10824,803,103,100,640,327,2625,515,9823,756,410,146,40813,2080,39517,1440,130580,2515,328216,2376,34775,2118,108225,2990,120238,3091,2196,386,2937135,410,2671701,5163,1805487,11226,1248288,8001,265434,5245,745224,1174,34775,2118,9,0.2
5,0400000US06,California,6,4269572,18499,4559157,14160,8236475,26058,182799,3111,583381,7854,829032,8536,1471510,10648,32888,1300,43597,2702,37422,1639,180869,3532,1556106,9191,3713847,22845,1785115,9232,2195431,15485,,106064,3156,76295,2666,81928,2380,1537,275,1956,487,23488,1471,52988,1651,3974,465,512562,7501,418625,6320,1035368,8925,3381795,10450,360515,5967,1283702,12894,1575000,16775,60950,2242,38653948,1897,35373781,28989,24501734,75277,14387695,38276,3280167,29604,9591494,3869,360515,5967,8.5,0.1
6,0400000US08,Colorado,8,649802,5548,679964,4952,1270985,6232,20846,848,93180,2601,119535,2702,221189,3241,3222,390,4759,821,3229,455,25418,1324,221371,2525,406120,5173,180846,3634,198021,4070,,40707,1625,24448,1234,35110,1530,362,130,823,435,5254,557,10811,802,592,177,74050,2317,68276,2112,165178,2423,473319,2378,61939,2605,172816,3929,201384,4275,5711,596,5439267,1264,4997417,7562,3834101,14106,1739826,10632,441850,7829,1331380,1423,61939,2605,8.1,0.1
7,0400000US09,Connecticut,9,450683,4431,416182,3350,943606,5416,19681,925,39206,1665,62606,1750,116196,2612,2836,515,1095,499,2663,439,18475,1031,155052,2382,240961,4160,125853,2594,161775,3383,,6461,648,4908,698,5049,573,88,87,39,49,1380,275,3802,423,255,119,41251,1688,32355,1249,95850,2209,384971,2620,25461,1671,74291,2410,93305,2735,3752,519,3530088,480,3333279,4703,2536358,9839,1214576,7623,196809,4702,805157,1240,25461,1671,5.6,0.1
8,0400000US10,Delaware,10,111939,2425,111504,1919,230287,2412,3259,457,9312,988,12641,864,23995,1235,473,162,519,236,763,266,7594,666,38750,1234,66648,2460,31512,1256,37990,1292,,3727,696,2713,458,3730,518,107,98,12,19,711,257,1139,263,23,26,15521,1355,11935,788,32129,1310,119319,1379,8597,898,21543,1311,25173,1254,1178,366,934743,400,878252,2056,674095,4893,347151,4462,56491,2083,216275,559,8597,898,6,0.2
9,0400000US11,District of Columbia,11,53059,1551,131044,1953,138007,1841,5200,420,8876,903,26919,1445,17464,876,537,163,185,121,625,253,2176,329,12844,722,56765,1487,35586,1246,45641,1502,,1975,360,1722,310,1342,221,46,39,0,29,171,96,1028,286,74,51,8109,849,13481,1199,24410,926,59884,848,2749,573,11839,1011,11948,1140,552,247,674258,271,647170,1939,469473,2922,242603,2948,27088,1902,131718,640,2749,573,4,0.3
10,0400000US12,Florida,12,1685243,14359,1896241,11508,3920269,18650,71820,2010,353230,6144,494190,6648,1065082,9322,32910,1479,14495,1477,13575,1092,160090,3587,1371022,8387,1706486,14793,408054,6676,506627,5716,,88399,3540,55418,2143,109341,2782,2244,365,2473,623,18650,1236,57017,1996,2806,389,205281,4884,183218,4451,655824,7511,2463750,9020,335398,6544,990324,12786,1367213,17171,51578,2039,20288268,1724,17543755,29815,12563057,51907,7481815,22596,2744513,30343,4391005,2683,335398,6544,13.5,0.1
11,0400000US13,Georgia,13,1146712,10946,1141024,7295,2244298,10850,30154,1274,134177,3998,186922,3987,341536,5119,5363,630,12111,1258,6532,654,78746,2669,389052,4299,957653,9863,154314,3151,187530,3729,,70588,3015,43812,1832,62129,2297,773,294,1200,454,7206,831,27743,1423,631,208,130296,3838,111176,3705,362959,5280,885249,4949,196064,4893,540112,6856,642010,10335,11355,1009,10109427,1677,8719886,17467,6645864,29138,3108401,13833,1389541,17855,2648801,2587,196064,4893,13.7,0.2
12,0400000US15,Hawaii,15,149468,2698,162877,2196,340130,2630,9696,615,14098,1016,16092,954,34389,1308,1527,249,731,317,823,258,5185,457,49605,1616,89224,2319,38420,1520,49629,1797,,28739,1155,17515,817,13411,634,64,38,126,62,819,302,2102,358,398,186,31353,1667,25013,1058,54569,1458,178881,1745,7665,707,21707,1252,24859,1188,1393,251,1370508,893,1314884,2147,1050936,4632,469008,4716,55624,2109,321404,609,7665,707,4.1,0.2
13,0400000US16,Idaho,16,213754,4077,179866,2871,340790,3611,4008,508,38077,2330,43940,1805,77326,2290,803,248,608,220,1056,359,8114,681,66383,1598,148127,3148,25190,1495,24755,1315,,7006,1117,4262,526,6594,611,19,23,57,57,1118,245,4058,527,198,98,29229,1706,21253,1175,58757,1643,177280,1678,26724,1768,68601,2090,87443,2808,979,216,1666375,469,1482628,4647,1162744,7142,536562,4950,183747,4648,463582,977,26724,1768,11,0.3
14,0400000US17,Illinois,17,1620406,10077,1606822,8005,3145720,12049,54574,1485,147745,3401,241565,3865,403677,5026,7969,638,6168,717,9128,831,75148,2271,509821,4113,1068548,10784,410774,5556,501193,5683,,17290,1224,12149,997,18213,1081,142,65,660,246,5095,484,17461,809,1239,214,139864,3819,117910,2808,336151,3780,1239163,4573,95362,3117,361967,5679,454208,7720,17075,1283,12643207,694,11714595,13128,8847326,28714,4244179,17233,928612,13081,3096043,2637,95362,3117,7.3,0.1
15,0400000US18,Indiana,18,882259,7201,826609,5639,1600343,7708,17354,773,68221,2459,106531,2657,177784,3485,2457,368,3285,602,5228,553,52676,1795,265732,3232,505530,6791,153435,3157,185689,3186,,10272,1107,7429,730,12489,813,109,62,266,108,4043,505,14594,922,696,199,87446,2574,71420,2167,211437,3275,668663,3356,109691,3615,221895,4008,259813,4858,5144,553,6538540,467,5941997,9513,4604459,17774,2126240,11808,596543,9610,1666970,1838,109691,3615,9.1,0.1
16,0400000US19,Iowa,19,416566,3990,410576,3288,767002,4373,8444,610,45169,1582,57023,1932,110991,1945,1280,211,776,223,1444,262,11409,687,115267,1794,219925,3484,82725,2141,93226,2160,,5511,712,3220,468,5460,476,48,36,243,123,1481,253,5210,544,317,121,61478,2404,44047,1513,103997,2009,363538,2010,23736,1595,60138,2086,67384,2292,1211,223,3088842,257,2936373,4190,2337073,8572,1046018,5850,152469,4218,773404,1203,23736,1595,4.9,0.1
17,0400000US20,Kansas,20,393751,4225,363396,3349,673809,4031,8934,542,49781,2004,62508,2007,96548,2087,1061,192,1512,437,1448,318,17576,885,105959,1731,200656,3486,33672,1595,36356,1543,,21636,1260,13319,810,13937,979,61,44,210,121,1934,345,6076,533,261,96,48681,1976,40300,1192,98400,2156,301035,1789,38922,2170,100426,2906,115318,2585,1846,288,2849329,726,2592817,5753,2131474,8523,823948,5354,256512,5689,755149,1135,38922,2170,9,0.2
18,0400000US21,Kentucky,21,486493,6227,480924,4530,955292,5265,10956,739,47233,2066,57981,1624,108951,2198,1700,272,3319,651,5092,685,57821,1939,172534,2587,407100,6324,189832,3269,255389,3815,,19093,1176,11497,744,15848,974,72,33,385,197,2637,403,9486,694,426,132,65234,2611,56676,1793,188564,2798,481244,2770,41127,1957,104581,3052,117739,2853,1969,297,4357195,636,4091779,5576,2839537,15717,1828939,11156,265416,5639,1069984,1697,41127,1957,6.1,0.1
19,0400000US22,Louisiana,22,450740,6244,496681,5370,915411,5353,18018,1003,51344,2445,80590,2233,147431,3042,2780,337,3087,541,4316,618,45658,1647,204251,2926,530466,6444,155882,3448,174398,3166,,17971,1438,12626,1006,15278,980,122,71,344,236,2569,469,10958,896,862,249,66726,3048,59597,2285,177596,3278,426460,3108,45175,2530,203464,4566,235296,4561,3177,441,4559274,768,4072162,8168,2787281,14587,1785609,8956,487112,8248,1165853,1413,45175,2530,10.7,0.2
20,0400000US23,Maine,23,140593,2503,135246,1842,320655,2631,5573,450,14223,873,21137,959,52355,1558,699,158,508,207,619,171,8684,646,61736,1282,79240,2054,31145,1156,41197,1482,,4151,636,2119,396,6515,638,146,57,165,81,1053,221,4534,441,239,90,17456,1031,15925,918,59422,1526,182658,1354,15089,1164,38034,1547,56101,1703,417,106,1317634,283,1207993,3157,918696,5360,484847,4265,109641,3190,271425,567,15089,1164,8.3,0.2
21,0400000US24,Maryland,24,764503,5903,741979,4412,1533900,6079,34982,1209,66245,2323,95656,2104,177952,3112,4262,501,7485,1131,5333,752,31326,1489,173089,2730,415576,5883,173910,3037,201906,3626,,34420,1938,17887,994,35662,1626,751,204,239,134,2552,428,8719,664,348,112,81258,2753,71070,2347,214364,3320,629669,2642,50588,2343,146641,3676,176202,3657,8699,753,5907173,1089,5525043,6451,4394643,15168,1874088,9401,382130,6649,1420314,1625,50588,2343,6.5,0.1
