22,0400000US25,Massachusetts,25,860503,6928,924544,5471,1765222,8053,44009,1349,69910,2761,139532,2974,171904,3217,4282,412,1130,350,2846,484,23497,1148,226085,2869,419354,6805,290111,4804,392246,6172,,7105,703,5548,468,8589,698,340,127,118,86,2317,436,4454,536,517,227,104217,2706,99406,2431,236263,3477,762496,3296,19955,1205,80509,2689,85114,2846,3892,470,6756015,478,6566545,4667,5001165,18003,2441507,14788,189470,4676,1482292,1967,19955,1205,2.8,0.1
23,0400000US26,Michigan,26,1223107,8127,1164426,6031,2389487,8542,27058,938,98054,2636,161714,3023,295465,3459,3825,362,2516,451,5940,505,65707,1720,294216,3136,767729,8278,367765,4045,438340,5106,,11410,837,6916,586,12324,730,103,75,486,131,4651,452,15624,728,731,177,151017,3309,114662,2532,376453,3964,1250694,3178,77232,2876,239891,4299,274424,4369,5497,515,9847464,346,9250420,8535,7026257,22366,3721479,15232,597044,8552,2331551,1846,77232,2876,6.1,0.1
24,0400000US27,Minnesota,27,805360,4889,726210,3999,1432952,5324,16348,681,75428,2068,96560,2369,185182,2748,2453,285,877,186,3237,362,24716,980,163793,2243,340701,4797,175268,2827,209224,3038,,7836,668,5364,527,8033,596,54,26,362,139,2612,385,8136,510,416,109,87167,2426,64279,2024,157633,2162,614424,2238,47789,1794,95800,2674,108815,2709,2360,285,5469389,357,5214625,5286,4186967,10930,1764038,8086,254764,5243,1365520,1537,47789,1794,4.7,0.1
25,0400000US28,Mississippi,28,269631,4150,300200,4155,576294,4614,6167,621,39871,2200,49941,2338,84315,2342,969,225,1747,356,1722,327,33278,1262,125192,2595,359607,4400,67491,1843,78175,2358,,14655,1317,10339,945,13889,1092,159,94,408,313,1623,323,7645,795,311,117,39957,2079,33624,1575,133252,2694,301828,2728,37863,2417,153944,3818,176910,3956,1640,245,2922647,753,2552290,7003,1747793,11201,1134482,6732,370357,7097,763739,1547,37863,2417,12.7,0.2
26,0400000US29,Missouri,29,760911,5685,746294,4806,1411832,6538,17302,969,94940,2878,118616,2884,203819,3122,2860,373,4710,783,5573,643,62700,1865,290006,3568,421931,5861,92354,2346,113136,2267,,21641,1292,13358,1031,21266,1075,216,129,809,296,4043,590,16703,1043,780,201,69817,2672,63420,1950,208246,3572,628453,3652,85240,3033,228150,4631,263295,5287,4317,517,5976738,701,5395736,9821,4226236,16275,1883050,8635,581002,9939,1459999,1630,85240,3033,9.7,0.2
27,0400000US30,Montana,30,105078,2598,106129,2316,212668,2676,2532,318,17486,1001,25908,1282,51874,1514,365,94,310,141,702,203,6395,555,49167,1117,83445,2508,22730,1091,28348,1440,,4684,637,4186,435,4454,485,8,13,74,74,1117,246,3824,401,173,60,12756,997,13554,887,37469,1248,126240,1168,16377,1174,38632,1567,49271,1658,630,115,1026586,313,921676,3075,697398,4948,369276,4156,104910,3054,240210,782,16377,1174,10.2,0.3
28,0400000US31,Nebraska,31,270719,3224,244945,2220,445921,2857,6156,452,36355,1601,46174,1235,76350,1497,729,136,809,244,793,198,8180,562,72218,1209,123655,2873,21798,903,21517,932,,10919,907,6370,475,9252,730,45,38,138,61,1235,210,4173,399,184,96,29233,1501,25576,1204,60568,1551,193625,1358,25648,1437,62003,1725,68971,1995,1209,215,1875468,414,1717637,3255,1426167,5476,517405,4474,157831,3249,497476,818,25648,1437,8.4,0.2
29,0400000US32,Nevada,32,343916,4897,333878,3779,638716,4073,11369,741,36754,1794,41736,1576,88320,2246,2070,321,2076,647,2109,332,20474,1150,150247,2342,215868,3885,81274,2439,102192,2056,,11513,1081,7819,641,13562,802,246,115,439,236,2404,439,9126,705,587,176,40726,2388,30194,1462,93553,2282,262203,2208,55676,2342,122353,2901,159078,3219,6997,741,2887475,594,2543371,5575,1884408,8819,962484,6018,344104,5573,706968,980,55676,2342,11.9,0.2
30,0400000US33,New Hampshire,33,174904,2124,169980,2028,383746,2629,5665,432,12904,964,20596,1089,43070,1402,680,176,495,198,1358,272,11587,759,53932,1386,70539,2288,24674,1221,29644,1274,,2619,528,2046,275,3916,385,154,72,56,56,1036,253,2802,404,108,48,12311,924,12439,838,40539,1326,158169,1581,8339,876,33675,1527,43564,1523,696,192,1326243,276,1239969,2626,1019536,5381,399632,3833,86274,2603,282167,727,8339,876,6.5,0.2
31,0400000US34,New Jersey,34,1211713,7634,1073956,6191,2385783,9793,43148,1464,102180,2921,126963,2823,251235,3687,6557,560,5026,832,5881,635,51383,1742,367797,4207,578548,7604,212202,3567,294892,4104,,10084,986,6897,598,8906,754,108,59,351,203,1834,327,5220,497,271,134,90667,3284,66168,2012,221977,3259,904047,4195,83172,3235,278770,4680,365367,6773,15736,1071,8776839,625,8033794,11811,6328839,22574,2686456,12928,743045,11843,2081741,1671,83172,3235,8.5,0.1
32,0400000US35,New Mexico,35,166751,3622,175478,2975,359530,3839,6968,582,18877,1486,24499,1277,57418,1929,1190,229,1082,230,2292,351,16787,976,100777,1867,261070,3924,114508,2435,125054,2441,,11505,1004,8559,1009,11054,968,134,60,219,108,1082,279,5826,611,541,179,32959,2141,29172,1422,80826,2214,222958,1835,30092,1762,82711,2135,103883,2195,3724,524,2057526,691,1837116,4248,1130017,8122,963505,6499,220410,4267,522555,1121,30092,1762,10.7,0.2
33,0400000US36,New York,36,2100063,12227,2373956,10389,4562011,15532,95592,2069,277661,4836,352794,5105,502012,4838,11189,738,7382,889,11840,881,101294,2384,755415,5471,1545984,12331,897303,7485,1159862,8383,,21699,1205,16599,1006,16486,941,272,152,497,265,6932,644,18358,976,1050,215,316402,5204,239766,4181,644861,5335,2086170,5636,118899,3992,510675,7905,601736,8640,23858,1224,19378618,874,18123450,15843,12950832,39242,7478376,23526,1255168,16101,4388587,2464,118899,3992,6.5,0.1
34,0400000US37,North Carolina,37,1008291,8982,1052251,5987,2200374,10685,23709,1028,151253,3715,213383,4060,399507,5596,5401,578,4972,651,5543,645,86854,1907,426419,4093,934343,9908,203270,3817,205638,3691,,91820,2604,54362,2058,61881,1796,331,134,1329,426,7930,664,28141,1216,967,239,118822,3360,112627,2831,386404,4766,1065490,4099,121153,3280,424548,6787,546928,8441,8090,759,9952031,1743,8851312,13991,6686506,27598,3403413,13819,1100719,14386,2431983,2358,121153,3280,11.1,0.1
35,0400000US38,North Dakota,38,106019,1860,113609,1505,168901,1939,1723,224,16534,1009,22035,1195,31699,912,469,179,323,158,151,75,2831,320,20247,652,29559,1349,11921,911,12425,989,,4789,522,3214,443,3321,419,30,34,37,46,337,165,1276,225,75,57,13250,1166,12204,872,23765,1086,81012,725,13290,1008,21288,1193,19591,1049,316,84,736241,426,681756,2352,590899,3786,188273,2739,54485,2281,183801,607,13290,1008,7.4,0.3
36,0400000US39,Ohio,39,1465749,11321,1387225,7262,2854959,10818,43955,1380,108101,2493,150151,3262,281707,3828,5314,537,8462,1177,10910,807,102075,2412,522539,4693,878597,10236,426164,5374,500174,6068,,20119,1530,13305,916,22914,1220,116,49,973,429,6056,655,25413,1180,1475,257,167787,4181,119953,2907,359463,3542,1241785,4838,122956,4135,275578,4589,335838,5929,8887,780,11468700,587,10725441,11035,7972087,29729,4202287,20115,743259,11056,2772744,2411,122956,4135,6.5,0.1
37,0400000US40,Oklahoma,40,404579,3943,430361,3772,776912,4093,9954,630,53100,1580,70327,2097,119459,2395,1868,254,11835,1062,5022,514,39111,1089,151437,1782,371880,4347,63285,1525,66335,1455,,21427,1251,12484,754,19732,907,215,88,585,118,3689,381,13865,809,845,128,65327,1978,45075,1293,129945,2213,403344,1938,82099,1916,210731,2963,249493,2735,3247,307,3837568,808,3291998,5139,2469516,7772,1301880,5713,545570,5046,1010832,1085,82099,1916,14.2,0.1
38,0400000US41,Oregon,41,431610,5700,451656,4231,899456,5680,13349,781,55919,2226,76318,2177,152109,2588,2962,534,613,203,2675,453,23623,1219,178820,2489,324213,5284,161933,3620,201340,3833,,6277,776,4032,492,7573,709,39,29,534,235,3505,493,11652,904,797,215,62388,1935,56805,2086,145277,2582,472908,2432,35706,1525,115618,2752,139057,3334,3309,509,4042073,372,3748383,5453,2728149,13584,1586088,10210,293690,5397,917260,1162,35706,1525,7.3,0.1
39,0400000US42,Pennsylvania,42,1490017,9572,1574656,7655,3206148,11307,45404,1256,150892,3678,226589,2950,417522,4315,7314,577,4291,580,8021,687,83288,1964,505484,3911,855308,10386,361008,4490,436148,6139,,14640,1034,10023,701,19197,902,150,65,312,121,4930,513,16928,745,905,201,204359,3670,142868,2751,433815,4030,1582138,3854,127886,3547,301561,5399,347016,5700,9161,646,12587979,432,11802355,11360,9220970,26720,4448586,18525,785624,11346,2847705,2175,127886,3547,6.2,0.1
40,0400000US44,Rhode Island,44,117518,2199,130604,2129,257758,2832,4744,442,12132,976,23988,1400,30904,1429,746,192,368,240,794,213,6361,568,45269,1202,69831,1983,40244,1916,50930,1988,,2301,363,1739,330,1975,299,13,21,16,25,571,206,1404,311,52,36,16708,1313,14629,805,39356,1025,115655,1352,6121,786,24041,1502,23448,1446,659,194,1040879,291,986610,2520,735362,5342,384173,4753,54269,2499,224995,788,6121,786,5.2,0.2
41,0400000US45,South Carolina,45,488302,5921,522221,5101,1032239,6200,12051,902,57137,2172,79613,2371,165823,3336,1996,378,2533,546,3198,540,49845,1742,227167,3309,457488,6791,110064,3041,115030,2739,,32238,1651,19390,1073,30418,1270,316,123,400,175,4397,581,15644,1118,574,170,66460,2778,59515,2339,202758,3773,566444,3304,54583,2516,211182,4341,266452,5713,3007,456,4858485,1014,4323261,9555,3200163,16199,1789543,9897,535224,9553,1159141,1590,54583,2516,11,0.2
42,0400000US46,South Dakota,46,107697,2183,100825,1582,187270,1868,2147,261,18344,974,20288,917,38247,1202,403,119,519,254,397,139,4328,418,36265,980,62172,2111,11272,753,10997,839,,6047,660,3193,429,4607,461,22,31,83,79,716,198,2569,303,177,109,15090,1271,12111,866,30715,1111,90831,957,13192,836,32651,1277,33218,1038,428,110,846821,341,767332,1979,618728,3304,257408,3296,79489,1961,223144,690,13192,836,9.4,0.2
43,0400000US47,Tennessee,47,709338,7208,733654,5530,1432075,8352,18118,1033,84947,2851,112864,2867,219146,3930,2986,354,4503,681,5670,597,66874,2122,305780,4130,581273,8453,180666,3048,196149,3831,,32791,1886,19641,1046,30799,1478,198,94,1021,346,5928,622,18252,941,655,200,97649,3007,83173,2682,258433,3557,684208,4187,72022,2659,248412,5099,335751,6111,4687,526,6547663,980,5886791,10852,4330447,22491,2375977,13324,660872,10786,1583544,1604,72022,2659,10.1,0.2
44,0400000US48,Texas,48,3229964,19278,3195907,13311,5700184,18397,86333,2083,393763,7433,484590,7999,864646,8296,18665,1258,20052,1592,16770,1100,167654,3584,1020631,7301,2779683,20966,375475,5488,458945,5357,,134028,4296,75687,2416,112966,2841,1949,414,2813,521,24675,1523,63187,2233,2952,476,313309,7184,277716,5958,768946,7928,2061258,7526,814530,11141,1821348,14541,2067539,18859,61480,2090,27417645,2145,22652748,37052,17101346,61350,7873672,24098,4764897,37331,7688142,4204,814530,11141,17.4,0.1
45,0400000US49,Utah,49,600193,4886,463749,3822,652501,4171,9597,546,84281,2812,81416,2233,106266,2565,1288,279,1595,484,1476,352,10347,763,90848,1812,151412,3863,34072,1210,35879,1541,,10289,1044,6382,607,8378,753,70,68,188,109,1478,297,3588,447,244,123,46495,2039,37097,1434,67713,1632,210976,1964,71682,3432,108835,2716,118167,3044,3077,417,3019579,505,2717818,6973,2349674,9520,638355,6070,301761,6989,966135,1186,71682,3432,10,0.2
46,0400000US50,Vermont,50,59335,1465,72108,1459,150377,1592,2351,242,5826,511,10943,668,21293,883,227,83,199,106,464,133,3910,384,27050,792,50064,1379,26322,1105,36545,1316,,1181,263,775,151,1661,241,3,6,59,45,224,104,1216,204,30,26,9036,731,7649,549,24379,957,80307,828,2197,355,10296,667,12667,744,202,71,618896,136,593534,1124,425733,3564,258210,3191,25362,1123,127897,479,2197,355,4.1,0.2
47,0400000US51,Virginia,51,1039388,7953,1012379,6500,1976447,9752,33328,1445,114772,3192,162965,3207,281362,4216,6429,562,5339,697,5299,612,62772,1800,282402,3548,465750,7811,104510,2512,117981,2656,,127723,3324,68051,2010,115421,2763,1142,234,2659,369,7205,652,21556,1307,598,171,123095,2963,111389,2640,324166,3530,867775,4037,103440,3631,286281,5498,354071,7484,11947,939,8197642,2117,7441903,13022,6231792,22814,2237141,10719,755739,13538,1982166,2031,103440,3631,9.2,0.2
48,0400000US53,Washington,53,828700,7247,892674,5564,1718041,7900,26775,960,99673,3250,123130,2851,242998,3501,4500,488,2738,459,4752,676,38922,1296,267918,3335,570158,7596,241266,3262,271083,4378,,48775,2175,31473,1318,40205,1507,674,210,572,213,5265,562,14175,1004,782,217,118717,3507,101380,2527,258143,3842,746050,3378,53262,2393,198698,4143,229177,4605,6719,683,7187395,1428,6699539,8130,5117530,18086,2500984,12667,487856,8193,1722595,1570,53262,2393,6.8,0.1
49,0400000US54,West Virginia,54,179185,3188,180567,2301,394664,3335,4660,415,9795,818,16043,1010,33919,1319,342,90,1069,298,1650,396,25341,1239,81153,1885,164079,3477,81587,2112,112476,2481,,3138,532,2014,330,4981,681,66,53,260,190,1341,342,6493,673,300,107,25616,1207,21209,1023,82708,1884,248788,1982,11670,914,44845,1730,59709,1920,602,174,1800270,221,1683444,3154,1139051,7877,831095,6048,116826,3207,394812,972,11670,914,6.5,0.2
50,0400000US55,Wisconsin,55,793631,5274,747399,4447,1512208,6537,15151,691,55182,1665,91055,1812,191672,2821,2154,263,2929,511,3024,399,28936,975,233725,2582,365225,5440,141221,2706,172412,3191,,8127,733,5524,582,9690,630,42,25,294,124,3282,406,11804,691,495,136,90222,2328,65577,1681,182903,2520,642898,2574,53511,1584,128970,3355,144132,3262,2811,354,5706206,338,5376782,6214,4272859,14461,1855766,10480,329424,6251,1369121,1201,53511,1584,5.8,0.1
51,0400000US56,Wyoming,56,82460,1905,72179,1618,133603,1736,1809,343,9077,921,10438,953,22020,1237,312,111,304,164,314,129,2666,361,21381,1007,29770,1556,6973,654,6428,655,,3449,522,1930,392,2697,428,10,16,5,7,625,260,1892,309,110,79,8785,836,7086,620,19221,898,61492,997,11153,946,23696,1190,29723,1459,315,139,571923,367,507036,2263,423627,3450,154715,2195,64887,2227,145003,618,11153,946,11.3,0.4
52,0400000US72,Puerto Rico,72,184404,4082,181700,3710,404019,4969,10428,715,62970,2504,68466,2435,125566,2711,5931,565,7789,895,8362,662,56829,1759,205077,2899,427965,5041,345059,4429,460442,4454,,2597,586,2009,478,3104,451,101,67,102,87,540,196,4439,565,1143,214,26836,1804,17816,1069,131945,2415,406140,3041,22970,1549,75821,2498,106647,2703,4354,439,3361571,294,3151779,4179,1302547,9484,2078056,10288,209792,4182,735633,1353,22970,1549,6.2,0.1
