,State_x,State Abbreviation,Paid sick leave,Medicaid Expansion,Population density per square miles,Population 2018,Square Miles,Number Homeless (2019),Percent Unemployed (2018),Percent living under the federal poverty line (2018),Percent at risk for serious illness due to COVID,All-cause deaths 2018,Closed day cares,Closed non-essential businesses,State of emergency,Stay at home/ shelter in place,Religious Gatherings Exempt Without Clear Social Distance Mandate*,End/relax stay at home/shelter in place,Began to reopen businesses statewide,Reopen restaurants,Initially reopen restaurants for outdoor dining only,Reopened gyms,Reopened movie theaters,Reopened hair salons/barber shops,Reopen non-essential construction,Reopen Religious gatherings,Reopen non-essential retail,Reopen bars,Reopen Childcare,Resumed elective medical procedures,Mandate face mask use by all individuals in public spaces,Face mask mandate enforced by fines,Face mask mandate enforced by criminal charge/citation,Mandate face mask use by employees in public-facing businesses,Mandate quarantine for those entering the state from specific states,Mandate quarantine for all individuals entering the state from another state,Allow restaurants to sell takeout alcohol ,Stop Initiation of Evictions overall or due to COVID related issues,Stop enforcement of evictions overall or due to COVID related issues,Renter grace period or use of security deposit to pay rent,Order freezing utility shut offs,Froze mortgage payments,Lift Eviction Moratorium,"Prior to pandemic, no state unemployment waiting period; or date waiting period waived not found",Waived one week waiting period for unemployment insurance,Waive work search requirement for unemployment insurance,Expand eligibility of unemployment insurance to anyonewho is quarantined and/or taking care of someone who is quarantined,Expand eligibility to high-risk individuals in preventative quarantine,Expand eligibility of unemployment insurance to those who have lost childcare/school closures,Extend the amount of time an individual can be on unemployment insurance,Weekly unemployment insurance maximum amount (dollars),"Weekly unemployment insurance maximum amount with extra stimulus (through July 21, 2020) (dollars)",Unemployment insurance maximum duration (weeks),Unemployment insurance maximum duration with Pandemic Emergency Unemployment Compensation CARES extension (weeks),SNAP Waiver-Emergency Allotments to Current SNAP Households,SNAP Waiver-Pandemic EBT,SNAP Waiver-Temporary Suspension of Claims Collection,2020 Q1 SNAP ABAWD Time Limit Waiver,Modify Medicaid requirements with 1135 waivers (date of CMS approval),Reopened ACA enrollment using a special enrollment period,State previously allowed audio-only telehealth,Allow audio-only telehealth,Allow/expand Medicaid telehealth coverage,Stopped personal visitation in state prisons,Stopped in-person attorney visits in state prisons,Waived COVID/respiratory illness-related copays during pandemic for incarcerated individuals,Waived all copays during pandemic for incarcerated individuals,Cases_Total,Deaths_Total,Cases_White_percent,Cases_Black_percent,Cases_LatinX_percent,Cases_Asian_percent,Cases_AIAN_percent,Cases_NHPI_percent,Cases_Multiracial_percent,Cases_Other_percent,Cases_Unknown_percent,Deaths_White_percent,Deaths_Black_percent,DeathsDeaths_LatinX_percent,Deaths_Asian_percent,Deaths_AIAN_percent,Deaths_NHPI_percent,Deaths_Multiracial_percent,Deaths_Other_percent,Deaths_Unknown_percent,Cases_Total_percent,Deaths_Total_percent,homeles_percent,All-cause deaths 2018_percent,FIPS_CODE,EmployerInsuranceonly-Pop<19,EmployerInsuranceonly-Pop19-34,EmployerInsuranceonly-Pop35-64,EmployerInsuranceonly-Pop65+,DirectPurchaseonly-Pop<19,DirectPurchaseonly-Pop19-34,DirectPurchaseonly-Pop35-64,DirectPurchaseonly-Pop65+,Medicareonly-Pop<19,Medicareonly-Pop19-34,Medicareonly-Pop35-64,Medicareonly-Pop65+,Medicaidonly-Pop<19,Medicaidonly-Pop19-34,Medicaidonly-Pop35-64,Medicaidonly-Pop65+,TRICARE/Militaryonly:-Pop<19,TRICARE/Militaryonly:-Pop19-34,TRICARE/Militaryonly:-Pop35-64,TRICARE/Militaryonly:-Pop65+,VAHealthCareonly-Pop<19,VAHealthCareonly-Pop19-34,VAHealthCareonly-Pop35-64,VAHealthCareonly-Pop65+,2ormoreInsurance-Pop<19,2ormoreInsurance-Pop19-34,2ormoreInsurance-Pop35-64,2ormoreInsurance-Pop65+,PopulationwithnoHealthInsuranceAges-0-18,PopulationwithnoHealthInsuranceAges-19-34,PopulationwithnoHealthInsuranceAges-35-64,PopulationwithnoHealthInsuranceAges-Age65+,CiviliannoninstitutionalizedpopulationwithHealthCoverage,TotalCivilianNoninstitutionalizedPopulation-Withhealthinsurancecoverage,TotalCivilianNoninstitutionalizedPopulation-Withprivatehealthinsurance,TotalCivilianNoninstitutionalizedPopulation-Withpubliccoverage,TotalCivilianNoninstitutionalizedPopulation-Nohealthinsurancecoverage,Civiliannoninstitutionalizedpopulationunder19years,TotalCivilianNoninstitutionalizedPopulationunder19yrs-Nohealthinsurancecoverage,PercentofPopulationwithNoHealthInsuranceCoverage,Totalhouseholds,TotalHouseholdswithacomputer,TotalHouseholdswithabroadbandInternetsubscription,PercentofHouseholdswithInternetAtHome,EnglishOnly-Pop5-17,EnglishOnly-Pop18-64,EnglishOnly-Pop65+,"LanguageSpokenatHomebyAge-Spanish-SpeakEnglish""lessthanverywell""5andover","LanguageSpokenatHomebyAge-OtherIndo-European-SpeakEnglish""lessthanverywell""5andover","LanguageSpokenatHomebyAge-AsianPacificIslands-SpeakEnglish""lessthanverywell""5andover","LanguageSpokenatHomebyAge-OtherLanguages-SpeakEnglish""lessthanverywell""5andover",LanguageSpokenatHome-Spanish(LimitedEnglishHHs/allLimitedEnglishHHs),LanguageSpokenatHome-OtherIndo-European(LimitedEnglishHHs/allLimitedEnglishHHs),LanguageSpokenatHome-AsianandPacificIsland(LimitedEnglishHHs/allLimitedEnglishHHs),LanguageSpokenatHome-Other(LimitedEnglishHHs/allLimitedEnglishHHs),EnglishOnly-Total,Spanish-Pop5-17,Spanish-Pop18-64,Spanish-Pop65+,Spanish-Total,Spanish-SpeakEnglishverywell-Pop5-17,Spanish-SpeakEnglishverywell-Pop18-64,Spanish-SpeakEnglishverywell-Pop65+,Spanish-SpeakEnglishverywell-Total,Spanish-Englishlessthanverywell-Pop5-17,Spanish-Englishlessthanverywell-Pop18-64,Spanish-Englishlessthanverywell-Pop65+,Spanish-Englishlessthanverywell-Total,OtherIndo-European-Pop5-17,OtherIndo-European-Pop18-64,OtherIndo-European-Pop65+,OtherIndo-European-Total,OtherIndo-European-SpeakEnglishverywell-Pop5-17,OtherIndo-European-SpeakEnglishverywell-Pop18-64,OtherIndo-European-SpeakEnglishverywell-Pop65+,OtherIndo-European-SpeakEnglishverywell-Total,OtherIndo-European-Englishlessthanverywell-Pop5-17,OtherIndo-European-Englishlessthanverywell-Pop18-64,OtherIndo-European-Englishlessthanverywell-Pop65+,OtherIndo-European-Englishlessthanverywell-Total,Asian-PacificIsland-Pop5-17,Asian-PacificIsland-Pop18-64,Asian-PacificIsland-Pop65+,Asian-PacificIsland-Total,Asian-PacificIsland-SpeakEnglishverywell-Pop5-17,Asian-PacificIsland-SpeakEnglishverywell-Pop18-64,Asian-PacificIsland-SpeakEnglishverywell-Pop65+,Asian-PacificIsland-SpeakEnglishverywell-Total,Asian-PacificIsland-Englishlessthanverywell-Pop5-17,Asian-PacificIsland-Englishlessthanverywell-Pop18-64,Asian-PacificIsland-Englishlessthanverywell-Pop65+,Asian-PacificIsland-Englishlessthanverywell-Total,OtherLanguages-Pop5-17,OtherLanguages-Pop18-64,OtherLanguages-Pop65+,OtherLanguages-Total,OtherLanguages-SpeakEnglishverywell-Pop5-17,OtherLanguages-SpeakEnglishverywell-Pop18-64,OtherLanguages-SpeakEnglishverywell-Pop65+,OtherLanguages-SpeakEnglishverywell-Total,OtherLanguages-Englishlessthanverywell-Pop5-17,OtherLanguages-Englishlessthanverywell-Pop18-64,OtherLanguages-Englishlessthanverywell-Pop65+,OtherLanguages-Englishlessthanverywell-Total,PercentofHouseholdswithLimitedEnglishSpeakingStatus,TotalHouseholdsBelowthePovertyLevel,Households:IncomeBelowPovertyLevel(%),PopulationforwhomPovertyStatusisDetermined,IncometoPovertyRatio<0.50,IncometoPovertyRatio0.50-0.99,IncometoPovertyRatio1.00-1.24,IncometoPovertyRatio1.25-1.49,IncometoPovertyRatio1.50-1.84,IncometoPovertyRatio1.85-1.99,IncometoPovertyRatio2.00+,AllHouseholdsBelowPovertyLevel,AllHouseholdsAbovePovertyLevel,Married-CoupleFamilyHouseholdsBelowPovertyLevel,Married-CoupleFamilyHouseholdsAbovePovertyLevel,OtherFamiliesHHldsw/MaleHouseholderwithnowifepresentBelowPovertyLevel,OtherFamiliesHHldsw/MaleHouseholderwithnowifepresentAbovePovertyLevel,OtherFamiliesHhldsw/FemaleHouseholderwithnohusbandpresentBelowPovertyLevel,OtherFamiliesHhldsw/FemaleHouseholderwithnohusbandpresentAbovePovertyLevel,NonFamilyHhldsw/MaleHouseholderBelowPovertyLevel,NonFamilyHhldsw/MaleHouseholderAbovePovertyLevel,NonFamilyHhldsw/FemaleHouseholderBelowPovertyLevel,NonFamilyHhldsw/FemaleHouseholderAbovePovertyLevel,Percentageoffamilieswhoseincomeinthepast12monthsisbelowthepovertylevelwithfemalehouseholdernohusbandpresent)-Withrelatedchildrenofthehouseholderunder18years,Percentageoffamilieswhoseincomeinthepast12monthsisbelowthepovertylevelwithfemalehouseholdernohusbandpresent)-Withrelatedchildrenofthehouseholderunder5years,Percentageofpeoplewhoseincomeinthepast12monthsisbelowthepovertylevel,Percentageofpeoplewhoseincomeinthepast12monthsisbelowthepovertylevel-Relatedchildrenofthehouseholderunder5years,Percentageofpeoplewhoseincomeinthepast12monthsisbelowthepovertylevel-65yearsandover,TotalMarried-CoupleFamilyHouseholds,TotalOtherFamiliesHHldsw/MaleHouseholder,TotalOtherFamiliesHhldsw/FemaleHousehiolder
0,Alabama,AL,0,0,93.24,4887871,52420.0,3261,5.6,16.8,43.1,54352,7.0,15.0,2020-03-13,22.0,0,48.0,48.0,59.0,0.0,59.0,70.0,59.0,0.0,59.0,48.0,59.0,71.0,48.0,125.0,0,0,59.0,0.0,0.0,11.0,0.0,21.0,0.0,0.0,0.0,80.0,0,3.0,1,1,0,0,0,275.0,875.0,26.0,39.0,11,39.0,0.0,0,10,0.0,0,9.0,3.0,1,0.0,0,1,731345.0,19350.0,35.49,35.86,0.0,0.45,0.0,0.0,0.0,5.15,23.04,49.05,43.91,0.0,0.54,0.0,0.0,0.0,1.49,4.89,14.96,0.4,0.07,1.11,1,510146,538572,1038945,11576,53009,85851,150503,2093,2832,4638,57750,200575,468760,87618,104297,0.0,25717,14705,28379,221,657,3357,11293,411,65980,63969,229843,545869,38671,204561,231101,3141,4785040,4307566,3221648,1745707,477474,1165772,38671,10.0,1860269,1551296,1364318,73.8,754381,2815595,765597,63979,8796,20461,3190,62.05,9.26,24.77,3.92,4335573,40399,100779,7242,148420,30794,49362,4285,84441,9605,51417,2957,63979,4077,25624,6399,36100,3380,19214,4710,27304,697,6410,1689,8796,5847,30635,3632,40114,3910,14280,1463,19653,1937,16355,2169,20461,1964,9422,962,12348,1854,6654,650,9158,110,2768,312,3190,1.2,319903,17.2,4742208,360959,468441,253831,234252,341805,133637,2949283,319903,1540366,50964,832422,13914,64609,95188,172808,64975,222247,94862,248280,46.9,49.5,17.5,28.4,10.3,883386.0,78523.0,267996.0
1,Alaska,AK,0,1,1.11,737438,665384.0,1907,6.8,10.9,32.8,4453,0.0,17.0,2020-03-11,17.0,0,44.0,44.0,44.0,0.0,58.0,58.0,44.0,0.0,44.0,42.0,58.0,0.0,40.0,0.0,0,0,44.0,0.0,14.0,6.0,12.0,0.0,0.0,29.0,0.0,112.0,0,15.0,1,1,0,1,0,370.0,970.0,26.0,39.0,21,86.0,0.0,1,22,0.0,1,0.0,9.0,2,2.0,1,0,21110.0,317.0,50.57,2.41,0.0,7.01,10.63,2.88,3.13,2.17,21.2,46.37,0.0,0.0,13.25,15.77,6.62,0.0,0.0,8.52,2.86,0.04,0.26,0.6,2,75722,72909,147917,2790,5644,8017,15503,262,294,330,1853,16676,58348,21833,22216,0.0,16707,11547,7881,124,135,883,2656,108,17709,14247,32659,56180,20132,37826,44045,953,714106,611150,467898,221460,102956,194691,20132,14.4,253462,236598,213702,84.8,113707,393179,66487,6432,3354,18061,5672,20.42,9.95,52.64,16.98,573373,3921,18803,1654,24378,3259,13711,976,17946,662,5092,678,6432,2427,11118,2037,15582,1983,8821,1424,12228,444,2297,613,3354,5843,29234,3894,38971,4066,15747,1097,20910,1777,13487,2797,18061,6000,21616,4356,31972,5208,18150,2942,26300,792,3466,1414,5672,2.1,23700,9.35,720674,35602,42263,24577,26230,37870,16387,537745,23700,229762,4349,121498,2242,12717,5962,20865,5994,42273,5153,32409,29.6,33.0,10.8,15.9,5.4,125847.0,14959.0,26827.0
2,Arizona,AZ,1,1,62.91,7171646,113990.0,10007,5.4,14.0,39.1,59282,0.0,19.0,2020-03-11,20.0,1,66.0,58.0,61.0,0.0,63.0,66.0,58.0,0.0,0.0,58.0,66.0,0.0,51.0,0.0,0,0,58.0,29.0,0.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0,7.0,1,1,0,1,0,240.0,840.0,26.0,39.0,21,37.0,0.0,1,12,0.0,0,14.0,14.0,2,2.0,1,0,1336330.0,32963.0,17.34,2.43,23.14,0.8,8.15,0.01,0.0,2.04,46.09,42.5,2.95,20.81,1.14,16.44,0.01,0.0,1.8,14.36,18.63,0.46,0.14,0.83,4,761132,733801,1327801,20885,105814,108231,218460,7513,2657,4824,45445,371499,589133,257558,315214,0.0,25517,17940,28384,322,613,5862,17604,1126,98915,78831,210105,734778,147689,267199,322873,10545,6838270,6089964,4293325,2620735,748306,1731470,147689,10.9,2524300,2269063,2064391,82.2,853969,2920527,965545,447267,29921,55102,44713,72.16,6.29,11.11,10.44,4740041,290221,924389,123779,1338389,249415,576552,65155,891122,40806,347837,58624,447267,13113,86792,29401,129306,11341,67848,20196,99385,1772,18944,9205,29921,15656,103630,16930,136216,12161,62421,6532,81114,3495,41209,10398,55102,24722,119244,22665,166631,20712,89785,11421,121918,4010,29459,11244,44713,4.2,362127,14.35,6788985,509325,582867,341454,323012,479774,199156,4353397,362127,2162173,80436,1119697,23023,115231,86948,222791,79584,347434,92136,357020,36.9,37.3,16.1,25.1,9.0,1200133.0,138254.0,309739.0
3,Arkansas,AR,0,1,56.67,3013825,53179.0,2717,4.5,17.2,43.5,32336,0.0,0.0,2020-03-11,0.0,0,0.0,54.0,61.0,0.0,54.0,68.0,56.0,0.0,54.0,68.0,76.0,0.0,47.0,131.0,1,1,61.0,55.0,0.0,8.0,0.0,0.0,0.0,30.0,0.0,0.0,0,6.0,1,1,0,0,0,451.0,1051.0,20.0,33.0,13,71.0,0.0,0,22,0.0,0,2.0,2.0,5,5.0,1,0,361431.0,4921.0,47.89,24.71,0.06,1.22,0.27,5.41,0.04,11.52,8.87,55.44,28.82,0.0,0.87,0.0,5.93,0.0,5.79,1.87,11.99,0.16,0.09,1.07,5,276607,309274,572202,6496,32955,51996,98866,1116,2023,3254,38316,132824,346942,95840,121963,0.0,10469,7007,10824,103,640,2625,9823,410,40813,39517,130580,328216,34775,108225,120238,2196,2937135,2671701,1805487,1248288,265434,745224,34775,9.0,1152175,969432,804635,70.4,465650,1652432,475269,68863,4650,16228,1272,74.93,4.93,18.7,1.44,2593351,41415,102337,5866,149618,32951,45500,2304,80755,8464,56837,3562,68863,2241,14070,3701,20012,1915,10878,2569,15362,326,3192,1132,4650,5806,24193,2394,32393,3846,11375,944,16165,1960,12818,1450,16228,520,4160,306,4986,514,2996,204,3714,6,1164,102,1272,1.7,196481,17.05,2903003,210464,299873,174549,168010,228923,91671,1729513,196481,955694,35133,523734,10113,42885,53096,99855,41525,140736,56614,148484,44.5,52.5,17.6,28.6,10.2,558867.0,52998.0,152951.0
4,California,CA,1,1,241.65,39557045,163695.0,151278,5.5,12.8,33.3,268818,0.0,15.0,2020-03-04,15.0,0,0.0,65.0,0.0,0.0,0.0,0.0,138.0,55.0,100.0,65.0,0.0,0.0,49.0,106.0,0,0,62.0,0.0,0.0,15.0,23.0,0.0,0.0,29.0,0.0,0.0,0,8.0,1,1,0,0,0,450.0,1050.0,26.0,39.0,26,50.0,0.0,1,19,16.0,0,26.0,14.0,7,35.0,0,0,4427497.0,125500.0,12.71,3.2,36.42,5.05,0.14,0.46,0.51,8.41,33.07,31.62,9.21,38.89,14.04,0.33,0.56,0.56,1.09,3.69,11.19,0.32,0.38,0.68,6,4269572,4559157,8236475,182799,583381,829032,1471510,32888,43597,37422,180869,1556106,3713847,1785115,2195431,0.0,106064,76295,81928,1537,1956,23488,52988,3974,512562,418625,1035368,3381795,360515,1283702,1575000,60950,38653948,35373781,24501734,14387695,3280167,9591494,360515,8.5,12965435,11886064,10981568,85.1,3707446,13349981,3429644,4253679,498572,1743664,125113,55.51,10.07,32.1,2.33,20487071,2258167,7397212,874242,10529621,1863818,4112179,299945,6275942,394349,3285033,574297,4253679,190403,1150373,300744,1641520,160301,839242,143405,1142948,30102,311131,157339,498572,380232,2592336,663690,3636258,288865,1414257,189472,1892594,91367,1178079,474218,1743664,56728,269746,47137,373611,45191,180994,22313,248498,11537,88752,24824,125113,9.1,1706075,13.16,38407403,2401275,3085866,1803821,1746259,2460075,999522,25910585,1706075,11259360,398722,6038694,107360,665686,421745,1283021,327344,1592255,450904,1679704,34.9,36.0,14.3,20.2,10.3,6437416.0,773046.0,1704766.0
5,Colorado,CO,0,1,54.72,5695564,104094.0,9619,3.9,9.6,31.3,38526,0.0,15.0,2020-03-11,15.0,1,47.0,51.0,77.0,0.0,85.0,99.0,51.0,0.0,46.0,51.0,99.0,0.0,47.0,127.0,0,0,43.0,0.0,0.0,9.0,50.0,50.0,0.0,9.0,0.0,94.0,0,9.0,0,0,0,0,0,618.0,1218.0,26.0,39.0,21,66.0,30.0,1,15,9.0,0,21.0,9.0,0,0.0,1,0,747284.0,37233.0,35.69,5.67,33.72,2.49,0.51,0.4,0.9,0.84,17.56,63.6,6.7,18.97,3.5,0.49,0.38,0.96,0.44,3.58,13.12,0.65,0.17,0.68,8,649802,679964,1270985,20846,93180,119535,221189,3222,4759,3229,25418,221371,406120,180846,198021,0.0,40707,24448,35110,362,823,5254,10811,592,74050,68276,165178,473319,61939,172816,201384,5711,5439267,4997417,3834101,1739826,441850,1331380,61939,8.1,2113387,1962259,1811158,86.2,738258,2919988,656081,217269,28667,45887,14922,65.08,10.63,17.55,6.73,4314327,146965,415548,49912,612425,124149,240570,30437,395156,22816,174978,19475,217269,15777,82697,19834,118308,13003,63098,13540,89641,2774,19599,6294,28667,15074,77630,11796,104500,12019,43338,3256,58613,3055,34292,8540,45887,8546,34821,3015,46382,6972,23147,1341,31460,1574,11674,1674,14922,2.8,224819,10.64,5409817,269128,321376,200761,199621,309444,134904,3974583,224819,1888568,39758,1010277,9750,88141,47391,156366,56734,318862,71186,314922,30.9,37.7,10.9,14.5,7.5,1050035.0,97891.0,203757.0
